ProductId,lenstype,Part_Description,Material_Type,Lens_Type,price
98,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Clear Glacier Plus UV,,,
99,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Gradient Tint Glacier Plus UV,,Rx,"3,635.52"
100,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Gradient Tint Glacier Sun UV,,Rx,"3,635.52"
101,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Solid Tint Glacier Plus UV,,Rx,"3,635.51"
102,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Solid Tint Glacier Sun UV,,Rx,"3,635.52"
103,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Transitions Green  Glacier Plus UV,Transitions,Rx,"4,887.85"
104,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"3,565.42"
105,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Transitions Grey  Glacier Sun UV,Transitions,Rx,"5,121.50"
106,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Transitions Grey  Glacier Sun UV,,,
107,Shamir InTouch AW,1.60 Autograph InTouch AW 18mm NuPolar Grey  Power Orange Mirror,,Rx,"4,887.85"
108,Shamir InTouch AW,1.60 Autograph InTouch AW 18mm Plastic Clear Glacier Plus UV,Clear,Rx,"3,565.42"
109,Shamir InTouch AW,1.60 Autograph InTouch AW 18mm Plastic Clear Glacier Plus UV,Clear,Rx,
110,Shamir InTouch AW,1.60 Autograph InTouch AW 18mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"4,887.85"
111,Shamir Urban,1.60 Autograph Urban 16mm NuPolar Brown  Glacier Plus UV,,Rx,"3,719.63"
112,Shamir Urban,1.60 Autograph Urban 16mm NuPolar Grey  Power Gold Mirror,,Rx,"3,953.27"
113,Shamir Urban,1.60 Autograph Urban 16mm Plastic Clear Glacier Plus UV,Clear,Rx,"2,630.84"
114,Shamir Urban,1.60 Autograph Urban 16mm Plastic Gradient Tint Glacier Plus UV,,Rx,"2,700.94"
115,Shamir Urban,1.60 Autograph Urban 16mm Plastic Solid Tint Glacier Plus UV,,Rx,500
116,Shamir Urban,1.60 Autograph Urban 16mm Plastic Solid Tint Glacier Sun UV,,Rx,"2,934.58"
117,Shamir Urban,1.60 Autograph Urban 16mm Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,"2,934.58"
118,Shamir Urban,1.60 Autograph Urban 16mm Plastic Solid Tint Power Silver Mirror,,Rx,"2,934.58"
119,Shamir Urban,1.60 Autograph Urban 16mm Plastic Solid Tint Power Silver Mirror,,,
120,Shamir Urban,1.60 Autograph Urban 16mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,953.27"
121,Shamir Urban,1.60 Autograph Urban 16mm Transitions Green  Glacier Plus UV,Transitions,Rx,"2,630.84"
122,Shamir Urban,1.60 Autograph Urban 16mm Transitions Grey Glacier Plus UV,Transitions,Rx,"3,953.27"
123,Shamir Urban,1.60 Autograph Urban 19mm Plastic Clear Glacier Plus UV,Clear,Rx,"2,630.84"
124,Shamir Urban,1.60 Autograph Urban 19mm Plastic Solid Tint Glacier Plus UV,,Rx,"2,700.94"
125,Shamir Urban,1.60 Autograph Urban 19mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,953.27"
126,Shamir Urban,1.60 Autograph Urban 19mm Transitions Green  Glacier Plus UV,Transitions,Rx,"3,953.27"
127,Shamir Urban,1.60 Autograph Urban 19mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"3,953.27"
128,Shamir Urban,1.60 Autograph Urban 19mm Transitions Grey  Glacier Plus UV,Transitions,Rx,
129,Shamir Duo,1.60 DUO 14mm NuPolar Grey  Glacier Plus UV,,Rx,"1,962.62"
130,Shamir Duo,1.60 DUO 14mm Plastic Gradient Tint Glacier Plus UV,,Rx,"1,098.13"
131,Shamir Duo,1.60 DUO 14mm Plastic Gradient Tint Glacier Sun UV,,Rx,"1,331.78"
132,Shamir Duo,1.60 DUO 14mm Plastic Solid Tint Glacier Plus UV,,Rx,"1,098.13"
133,Shamir Duo,1.60 DUO 14mm Plastic Solid Tint Glacier Sun UV,,Rx,"1,331.78"
134,Shamir Duo,1.60 DUO 14mm Plastic Solid Tint Power Green Mirror,,Rx,"1,098.13"
135,Shamir Duo,1.60 DUO 14mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"2,196.26"
136,Shamir Duo,1.60 DUO 14mm Transitions Green  Glacier Plus UV,Transitions,Rx,"2,196.26"
137,Shamir First PAL,1.60 First PAL 15mm Plastic Clear Glacier Plus UV,Clear,Rx,"1,074.77"
138,Shamir First PAL,1.60 First PAL 15mm Plastic Solid Tint Glacier Plus UV,,Rx,"1,144.87"
139,MV KQ8,1.60 MV KQ8 14mm Clear HemiX3,Clear,Rx,387.77
140,MV KQ8,1.60 MV KQ8 14mm Clear HemiX3,Clear,Rx,
141,MV XT,1.60 mv xt normal Transitions Grey HemiX3,Transitions,Rx,"1,417.67"
142,MV XT,1.60 mv xt short transitions Grey HeluX,Transitions,Rx,"1,417.67"
143,Progressive,1.60 Progressive Gauss Photochromic Grey Anti-Blue + ICE,Blue Zero,Rx,516.35
144,Stock Plano,1.60 STOCK Plano Clear AntiBlue HTC Vive,Blue Zero,Stock,107.48
145,Stock Plano,1.60 STOCK Plano Clear HMX HTC Vive,Clear,Stock,107.48
146,SV Rx,1.60 SV Rx Gauss Photochromic Grey Anti-Blue + ICE,Blue Zero,Rx,449.24
147,FreeForm SV Normal Base,1.60 SV Stock Gauss Photochromic Grey,,,449.24
148,SV Stock,1.60 SV Stock Plano Gauss Photochromic Grey Anti-Blue + ICE,Blue Zero,Stock,363.5
149,Shamir Attitude III Fashion,1.67 Attitude III Fashion 15mm NuPolar Grey  Glacier Plus UV,,Rx,"6,056.08"
150,Shamir Attitude III Fashion,1.67 Attitude III Fashion 15mm Transitions Green  Glacier Plus UV,Transitions,Rx,"6,289.72"
151,Shamir Attitude III Fashion,1.67 Attitude III Fashion 15mm Transitions Green  Glacier Plus UV,Transitions,Rx,
152,Shamir Attitude III Fashion,1.67 Attitude III Sports 18mm NuPolar Green  Power Red Mirror,,,"8,050.84"
153,Shamir Attitude III Sports,1.67 Attitude III Sports 18mm Plastic Solid Tint Glacier Plus UV,,Rx,"5,037.39"
154,Shamir Attitude III SV,1.67 Attitude III SV  NuPolar Grey  Glacier Plus UV,,Rx,"4,186.92"
155,Shamir Attitude III SV,1.67 Attitude III SV  NuPolar Grey  Glacier Sun UV,Polarized Grey,,"4,420.56"
156,Shamir Attitude III SV,1.67 Attitude III SV  NuPolar Grey  Power Blue Mirror,0,0,"4,186.92"
157,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Clear Glacier Plus UV,Clear,Rx,"2,081.50"
158,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Gradient Tint Power Silver Mirror,,Rx,"3,556.08"
159,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Glacier Sun UV,Plastic,,"3,556.07"
160,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,"3,556.08"
161,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Power Green Mirror,Plastic,,"3,556.07"
162,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Power Orange Mirror,,Rx,"3,556.08"
163,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Power Red Mirror,0,0,"3,322.43"
164,Shamir Attitude III SV,1.67 Attitude III SV  Plastic Solid Tint Power Silver Mirror,,Rx,"3,556.08"
165,Shamir Autograph III,1.67 Autograph III 11mm Plastic Clear Glacier Plus UV,Clear,Rx,427
166,Shamir Autograph III,1.67 Autograph III 13mm Plastic Solid Tint Glacier Sun UV,,Rx,"6,051.40"
167,Shamir InTouch AW,1.67 Autograph InTouch AW 15mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"6,135.52"
168,Shamir Urban,1.67 Autograph Urban 16mm Plastic Gradient Tint Glacier Plus UV,,Rx,"3,948.60"
169,Shamir Urban,1.67 Autograph Urban 16mm Plastic Solid Tint Glacier Sun UV,,Rx,"4,091.24"
170,Shamir Urban,1.67 Autograph Urban 16mm Plastic Solid Tint Power Silver Mirror,,Rx,"4,182.25"
171,Shamir Urban,1.67 Autograph Urban 16mm Transitions Brown  Glacier Plus UV,,,"5,200.93"
172,Shamir Urban,1.67 Autograph Urban 16mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"5,200.94"
173,Shamir Urban,1.67 Autograph Urban 19mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"5,200.94"
174,Shamir Duo,1.67 DUO 14mm Plastic Clear Glacier Plus UV,Clear,Rx,"1,962.62"
175,Shamir Duo,1.67 DUO 14mm Plastic Gradient Tint Glacier Plus UV,,Rx,"2,032.71"
176,Shamir Duo,1.67 DUO 14mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,130.84"
177,Shamir Duo,1.67 DUO 14mm Transitions Green  Glacier Plus UV,Transitions,Rx,"3,130.85"
178,Shamir Duo,1.67 DUO 14mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"3,130.85"
179,Shamir Relax,1.67 Relax 0.80 16mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"3,037.39"
180,Shamir Relax,11 2846 1 066,Other,Other,233.64
181,Shamir Relax,12 FPDB6329A 2 066,Other,Other,934.58
182,Shamir Relax,16 MA4697 2 076,,,420.56
183,Shamir Relax,18 71086 2 037,Other,Other,934.58
184,STOCK,1SV STOCK PLASTIC CLEAR HMX,,,"1,216.82"
185,35-002073 || 35-002073 50-18-145/32-001652,35-002073 || 35-002073 50-18-145/32-001652,,Rx,467.29
186,35-002073 || 35-002073 50-18-145/32-001652,35-002073 || 35-002073 50-18-145/32-001652,0,Rx,
187,35-002073 || 35-002073 50-18-145/32-001652,"A&P Optical Co.,Ltd.",,,
188,ABS,ABS 1.50 Blue Zero   HemiX3,Blue Zero,Rx,265.7
189,ABS,ABS 1.50 Blue Zero HeluX,Blue Zero,Rx,265.7
190,ABS,ABS 1.50 Blue Zero Solid Tint HeluX,Blue Zero,Rx,298.88
191,ABS,ABS 1.50 Clear HeluX,Clear,Rx,215.7
192,ABS,ABS 1.60 Blue Zero HeluX,Blue Zero,Rx,432.29
193,ABS,ABS 1.60 Blue Zero Solid Tint HeluX,Blue Zero,Rx,483.72
194,ABS,ABS 1.60 Clear HeluX,Clear,Rx,357.29
195,ABS,ABS 1.67 Blue Zero HeluX,Blue Zero,Rx,658.64
196,ABS,ABS 1.67 Clear HeluX,Clear,Rx,533.64
197,ABS,ABS 1.74 Blue Zero HeluX,Blue Zero,Rx,973.83
198,ABS,ABS 1.74 Clear HeluX,Clear,Rx,873.83
199,Alpha 18mm,AlphaH65 18mm 1.50 AutoShade Brown Glacier,,Rx,433.23
200,Alpha 18mm,AlphaH65 18mm 1.50 AutoShade Grey Glacier,,Rx,433.23
201,Alpha 18mm,AlphaH65 18mm 1.60 AutoShade Grey Glacier,,Rx,585.64
202,Alpha 18mm,AlphaH65 18mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,485.14
203,Alpha 18mm,AlphaH65 18mm 1.60 Plastic Clear BlueShield,Blue Zero,Rx,462.46
204,Alpha 18mm,AlphaMobile 18mm 1.60 Blue Zero Clear BlueShield,Blue Zero,Rx,668.79
205,Alpha 18mm,AlphaS35 18mm 1.50 AutoShade Grey BlueShield,Blue Zero,Rx,600.77
206,Alpha 18mm,AlphaS35 18mm 1.50 AutoShade Grey Glacier,,Rx,350.77
207,Alpha 18mm,AlphaS35 18mm 1.50 PhotoShade Brown Glacier,,Rx,758.7
208,Alpha 18mm,AlphaS35 18mm 1.50 Plastic Clear BlueShield,Blue Zero,Rx,475.77
209,Alpha 18mm,AlphaS35 18mm 1.50 Plastic Clear Glacier,Clear,Rx,350.77
210,Alpha 18mm,AlphaS35 18mm 1.50 Plastic Clear HC,Clear,Rx,350.77
211,Alpha 18mm,AlphaS35 18mm 1.60 AutoShade Grey Glacier,,Rx,585.64
212,Alpha 18mm,AlphaS35 18mm 1.60 AutoShade Grey Glacier,,Rx,
213,Alpha 18mm,AlphaS35 18mm 1.60 Blue Zero Clear BlueShield,Blue Zero,Rx,610.14
214,Alpha 18mm,AlphaS35 18mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,485.14
215,Alpha 18mm,AlphaS35 18mm 1.60 PhotoShade Brown Glacier,,Rx,"1,030.16"
216,Alpha 18mm,AlphaS35 18mm 1.60 Transitions Grey BlueShield,Transitions,Rx,"1,357.96"
217,Alpha 18mm,AlphaS35 18mm 1.60 Transitions Grey Glacier,Transitions,Rx,"1,232.96"
218,Alpha 18mm,AlphaS45 18mm 1.50 Blue Zero Clear Glacier,Blue Zero,Rx,370.35
219,Alpha 18mm,AlphaS45 18mm 1.50 Plastic Clear Glacier,Clear,Rx,350.77
220,Alpha 18mm,AlphaS45 18mm 1.60 Plastic Clear Glacier,Clear,Rx,462.46
221,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM,SINGLE VISION FREE FORM ASPHERICAL  1.50 PLASTIC GRADIENT TINT HMC-EMI,PLASTIC,
222,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.60 PHOTOCHROMIC GREY BLUE CUT HMX-EMI,Blue Zero,Rx,405
223,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.67 BLUE ZERO HMX,Blue Zero,Rx,572.69
224,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.67 PLASTIC SOLID TINT GREY HMX + I,,Rx,582.69
225,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.74 BLUE ZERO   HMX,Blue Zero,Rx,"1,000.82"
226,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.74 POLARIZED GREY HMX-EMI,,Rx,"2,084.67"
227,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.74 TRANSITIONS 8 BROWN ANTI BLUE,Transitions,Rx,"1,190.82"
228,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.74 TRANSITIONS 8 GREY HMX-EMI,Transitions,Rx,"2,400.00"
229,ASPHERICAL SINGLE VISION FREE FORM,ASPHERICAL SINGLE VISION FREE FORM 1.74 TRANSITIONS GREY Anti-Blue,Transitions,Rx,"1,615.00"
230,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.50 Plastic Clear Glacier Plus UV,Clear,Rx,"3,098.13"
231,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.59 Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,"5,046.73"
232,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.60 Blue Zero Clear BlueShield Glacier Plus,Blue Zero,Rx,"4,018.70"
233,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.60 Plastic Clear Glacier Expression,Plastic,,"3,878.50"
234,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.60 Plastic Gradient Tint Glacier Expression,Plastic,,"3,948.60"
235,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.60 XTRActive Polar Grey Glacier Expression,,Rx,"5,200.93"
236,Shamir Attitude III Fashion,Attitude III Fashion 15mm 1.67 Transitions Brown  Glacier Plus UV,Transitions,Rx,"6,289.72"
237,Shamir Attitude III Fashion,Attitude III Fashion 18mm 1.60 Plastic Solid Tint Mirror Silver + HC,,Rx,"4,023.37"
238,Shamir Attitude III Sports,Attitude III Sports 18mm 1.50 Plastic Clear Glacier Expression,Clear,Rx,"3,098.13"
239,Shamir Attitude III Sports,Attitude III Sports 18mm 1.50 Plastic Solid Tint Glacier Plus UV,,Rx,"3,168.23"
240,Shamir Attitude III Sports,Attitude III Sports 18mm 1.59 Polycarbonate Transitions Grey Glacier Expression,Transitions,Rx,"3,878.50"
