InvoiceNo,ProductId,Quantity,TypeId,Reorder_Cause_ID
CNTH2310-0022,1772,2,1,
CNTH2310-0023,1264,1,1,
CNTH2310-0024,1264,1,1,
CNTH2310-0025,1264,1,1,
CNTH2310-0026,2335,2,1,
CNTH2310-0027,1148,2,1,
CNTH2310-0028,1264,1,1,
CNTH2310-0029,1264,1,1,
CNTH2310-0030,1264,1,1,
CNTH2310-0031,1264,1,1,
CNTH2310-0032,1264,1,1,
CNTH2310-0033,1264,1,1,
CNTH2310-0034,851,2,1,
CNTH2310-0034,984,1,1,
CNTH2311-0001,411,2,1,
CNTH2311-0002,2184,2,1,
CNTH2311-0003,2182,2,1,
CNTH2311-0004,1264,1,1,
CNTH2311-0005,1264,1,1,
CNTH2311-0006,3456,1,1,
CNTH2311-0007,1264,1,1,
CNTH2311-0008,3448,1,1,
CNTH2311-0009,3431,1,1,
CNTH2311-0010,3456,1,1,
CNTH2311-0011,3456,1,1,
CNTH2311-0012,3456,1,1,
CNTH2311-0013,3456,1,1,
CNTH2311-0014,3456,1,1,
CNTH2311-0015,3456,1,1,
CNTH2311-0016,2411,1,1,
CNTH2311-0017,20,1,1,
CNTH2311-0018,852,1,1,
CNTH2311-0019,3456,1,1,
CNTH2311-0020,3456,1,1,
CNTH2311-0021,3456,1,1,
CNTH2311-0022,1683,2,1,
CNTH2311-0023,2027,2,1,
CNTH2311-0024,3456,1,1,
CNTH2311-0025,3456,1,1,
CNTH2311-0026,3456,1,1,
CNTH2311-0027,3456,1,1,
CNTH2311-0028,3456,1,1,
CNTH2311-0029,1027,1,1,
CNTH2311-0030,1630,1,1,
CNTH2311-0031,3456,1,1,
CNTH2311-0032,3456,1,1,
CNTH2311-0033,3456,1,1,
CNTH2311-0034,925,1,1,
CNTH2311-0035,3452,1,1,
CNTH2311-0036,3456,1,1,
CNTH2312-0001,3456,1,1,
CNTH2312-0002,3456,1,1,
CNTH2312-0003,3456,1,1,
CNTH2312-0004,2369,2,1,
CNTH2312-0005,1264,1,1,
CNTH2312-0006,1264,1,1,
CNTH2312-0007,1264,1,1,
CNTH2312-0008,1264,1,1,
CNTH2312-0009,2342,1,1,
CNTH2312-0010,2918,1,1,
CNTH2312-0011,2815,1,1,
CNTH2312-0012,3456,1,1,
CNTH2312-0013,3456,1,1,
CNTH2312-0014,3456,1,1,
CNTH2312-0015,3456,1,1,
CNTH2312-0016,3456,1,1,
CNTH2312-0017,595,2,1,
CNTH2312-0017,986,2,1,
CNTH2312-0018,3443,2,1,
CNTH2312-0019,3422,2,1,
CNTH2312-0020,92,2,1,
CNTH2312-0020,986,2,1,
CNTH2312-0021,3456,1,1,
CNTH2312-0022,3456,1,1,
CNTH2312-0023,3456,1,1,
CNTH2312-0024,3456,1,1,
CNTH2312-0025,3456,1,1,
CNTH2312-0026,2114,1,1,
CNTH2312-0027,896,1,1,
CNTH2401-0001,3456,1,1,
CNTH2401-0002,3456,1,1,
CNTH2401-0003,3456,1,1,
CNTH2401-0004,3456,1,1,
CNTH2401-0005,2114,1,1,
CNTH2401-0006,2114,2,1,
CNTH2401-0007,3391,1,1,
CNTH2401-0008,3448,1,1,
CNTH2401-0009,3391,32,1,
CNTH2401-0010,3456,1,1,
CNTH2401-0011,3456,1,1,
CNTH2401-0012,3456,1,1,
CNTH2401-0013,584,2,1,
CNTH2401-0014,1142,2,1,
CNTH2401-0015,2340,1,1,
CNTH2401-0016,791,1,1,
CNTH2401-0017,949,1,1,
CNTH2401-0018,3456,1,1,
CNTH2401-0019,3456,1,1,
CNTH2401-0020,3456,1,1,
CNTH2401-0021,3456,1,1,
CNTH2401-0022,3456,1,1,
CNTH2401-0023,3456,1,1,
CNTH2401-0024,984,1,1,
CNTH2401-0024,3387,12,1,
CNTH2401-0025,3456,1,1,
CNTH2401-0026,854,2,1,
CNTH2401-0027,984,1,1,
CNTH2401-0027,2184,2,1,
CNTH2401-0028,2625,1,1,
CNTH2402-0001,3456,1,1,
CNTH2402-0002,3456,1,1,
CNTH2402-0003,3456,1,1,
CNTH2402-0004,3456,1,1,
CNTH2402-0005,984,1,1,
CNTH2402-0005,3387,10,1,
CNTH2402-0006,1264,8,1,
CNTH2402-0007,1264,12,1,
CNTH2402-0008,3456,1,1,
CNTH2402-0009,184,1,1,
CNTH2402-0010,1640,2,1,
CNTH2402-0011,3431,1,1,
CNTH2402-0012,2963,2,1,
CNTH2402-0013,962,2,1,
CNTH2402-0014,3232,2,1,
CNTH2402-0015,3456,1,1,
CNTH2402-0016,3456,1,1,
CNTH2402-0017,3456,1,1,
CNTH2402-0018,3422,40,1,
CNTH2403-0001,3387,1,1,
CNTH2403-0002,2106,2,1,
CNTH2403-0003,392,2,1,
CNTH2403-0004,2975,2,1,
CNTH2403-0005,1264,1,1,
CNTH2403-0006,1154,2,1,
CNTH2403-0007,986,2,1,
CNTH2403-0008,105,2,1,
CNTH2404-0001,97,2,1,
CNTH2404-0001,986,2,1,
CNTH2404-0002,3456,1,1,
CNTH2404-0003,3456,1,1,
CNTH2404-0004,3197,2,1,
CNTH2404-0005,3387,2,1,
CNTH2404-0006,2686,2,1,
CNTH2404-0007,1264,1,1,
CNTH2404-0008,1264,1,1,
CNTH2404-0009,984,1,1,
CNTH2404-0009,986,2,1,
CNTH2404-0009,1927,2,1,
CNTH2404-0010,984,1,1,
CNTH2404-0010,2386,2,1,
CNTH2404-0011,2918,2,1,
CNTH2404-0012,984,1,1,
CNTH2404-0012,3420,2,1,
CNTH2404-0013,984,1,1,
CNTH2404-0013,2699,2,1,
CNTH2405-0001,1264,4,1,
CNTH2405-0002,1264,45,1,
CNTH2405-0003,986,2,1,
CNTH2405-0003,3322,2,1,
CNTH2405-0004,3387,2,1,
CNTH2405-0005,740,2,1,
CNTH2405-0006,2023,2,1,
CNTH2405-0007,3401,4,1,
CNTH2405-0008,1264,83,1,
CNTH2406-0001,971,2,1,
CNTH2406-0002,3050,2,1,
CNTH2406-0003,1592,2,1,
CNTH2406-0004,1264,4,1,
CNTH2406-0005,1264,127,1,
CNTH2406-0006,3144,1,1,
CNTH2406-0007,3448,2,1,
CNTH2406-0008,2064,2,1,
CNTH2406-0009,1799,2,1,
CNTH2406-0010,1799,2,1,
CNTH2406-0011,1860,2,1,
CNTH2406-0012,2149,2,1,
CNTH2407-0001,118,2,1,
CNTH2407-0001,984,1,1,
CNTH2407-0002,984,1,1,
CNTH2407-0002,3391,2,1,
CNTH2407-0003,986,2,1,
CNTH2407-0003,2561,2,1,
CNTH2407-0004,580,2,1,
CNTH2407-0005,984,1,1,
CNTH2407-0005,3387,1,1,
CNTH2407-0006,2353,2,1,
CNTH2407-0007,33,2,1,
CNTH2407-0008,578,2,1,
CNTH2407-0008,984,1,1,
CNTH2407-0008,986,2,1,
CNTH2407-0009,3149,2,1,
CNTH2408-0001,1264,34,1,
CNTH2408-0002,3265,2,1,
CNTH2408-0003,1043,2,1,
CNTH2408-0004,2367,2,1,
CNTH2408-0005,621,28,1,
CNTH2408-0006,986,2,1,
CNTH2408-0006,3422,2,1,
CNTH2408-0007,3448,2,1,
CNTH2408-0008,3387,2,1,
CNTH2408-0009,986,2,1,
CNTH2408-0009,2880,2,1,
CNTH2408-0010,3271,2,1,
DNOS2301-0002,3474,1,2,
DNOS2311-0009,676,2,2,
DNOS2311-0009,708,4,2,
DNOS2311-0009,1316,2,2,
DNOS2311-0009,1319,2,2,
DNOS2311-0009,1321,2,2,
DNOS2311-0009,1326,2,2,
DNOS2311-0009,1338,2,2,
DNOS2311-0009,1365,2,2,
DNOS2311-0009,1373,2,2,
DNOS2311-0009,1379,2,2,
DNOS2311-0009,1384,2,2,
DNOS2311-0009,1385,2,2,
DNOS2311-0009,2447,1,2,
DNOS2311-0009,2466,2,2,
DNTH2302-0001,115,3,2,
DNTH2303-0001,2751,2,2,
DNTH2303-0002,2950,2,2,
DNTH2303-0003,3269,2,2,
DNTH2308-0001,720,2,2,
DNTH2310-0001,986,1,2,
DNTH2403-0001,2106,2,2,
DNTH2403-0002,392,2,2,
DNTH2403-0003,2650,2,2,
DNTH2403-0004,3463,4,2,
DNTH2404-0001,97,2,2,
DNTH2404-0001,986,2,2,
DNTH2404-0002,3429,2,2,
DNTH2408-0001,2531,81,2,
IVOC2301-0002,1270,1,4,
IVOC2301-0003,1270,1,4,
IVOC2301-0007,983,1,4,
IVOC2301-0008,983,1,4,
IVOC2302-0007,983,1,4,
IVOC2302-0011,983,1,4,
IVOC2302-0013,1270,1,4,
IVOC2302-0014,1270,1,4,
IVOC2303-0009,1270,1,4,
IVOC2303-0010,1270,1,4,
IVOC2303-0014,983,1,4,
IVOC2303-0015,983,1,4,
IVOC2304-0001,983,1,4,
IVOC2304-0003,1270,1,4,
IVOC2304-0004,1270,1,4,
IVOC2304-0010,983,1,4,
IVOC2305-0001,1270,1,4,
IVOC2305-0002,1270,1,4,
IVOC2305-0007,983,1,4,
IVOC2305-0010,983,1,4,
IVOC2306-0002,1270,1,4,
IVOC2306-0003,1270,1,4,
IVOC2306-0009,983,1,4,
IVOC2306-0012,983,1,4,
IVOC2307-0002,1270,1,4,
IVOC2307-0003,1270,1,4,
IVOC2307-0011,983,1,4,
IVOC2308-0005,1270,1,4,
IVOC2308-0006,1270,1,4,
IVOC2308-0015,1270,1,4,
IVOC2308-0016,983,1,4,
IVOC2309-0004,1270,1,4,
IVOC2309-0005,1270,1,4,
IVOC2309-0008,983,1,4,
IVOC2310-0001,983,1,4,
IVOC2310-0006,1270,1,4,
IVOC2310-0007,1270,1,4,
IVOC2310-0009,983,1,4,
IVOC2311-0003,1270,1,4,
IVOC2311-0004,1270,1,4,
IVOC2311-0006,983,1,4,
IVOC2311-0007,983,1,4,
IVOC2312-0001,983,1,4,
IVOC2312-0002,1270,1,4,
IVOC2312-0003,1270,1,4,
IVOC2312-0010,983,1,4,
IVOC2312-0010,1270,1,4,
IVOC2401-0001,983,1,4,
IVOC2401-0003,1270,1,4,
IVOC2401-0004,1270,1,4,
IVOC2401-0006,983,1,4,
IVOC2401-0009,983,1,4,
IVOC2402-0003,1270,1,4,
IVOC2402-0004,1270,1,4,
IVOC2402-0005,983,1,4,
IVOC2403-0002,1270,1,4,
IVOC2403-0003,1270,1,4,
IVOC2403-0004,983,1,4,
IVOC2403-0009,983,1,4,
IVOC2403-0014,983,1,4,
IVOC2403-0016,983,1,4,
IVOC2403-0017,983,1,4,
IVOC2404-0003,1270,1,4,
IVOC2404-0004,1270,1,4,
IVOC2404-0005,983,1,4,
IVOC2404-0009,983,1,4,
IVOC2405-0005,1270,1,4,
IVOC2405-0006,983,1,4,
IVOC2405-0011,1270,1,4,
IVOC2405-0013,983,1,4,
IVOC2405-0016,983,1,4,
IVOC2406-0004,1270,1,4,
IVOC2406-0005,1270,1,4,
IVOC2406-0011,983,1,4,
IVOC2406-0013,983,1,4,
IVOC2407-0008,983,1,4,
IVOC2407-0009,1270,1,4,
IVOC2407-0010,1270,1,4,
IVOC2407-0011,983,1,4,
IVOC2408-0011,1270,1,4,
IVOC2408-0012,1270,1,4,
IVOC2408-0013,983,1,4,
IVOC2408-0014,983,1,4,
IVOS2301-0011,189,2,3,
IVOS2301-0011,983,1,4,
IVOS2301-0011,3474,1,4,
IVOS2301-0012,196,2,3,
IVOS2301-0012,983,1,4,
IVOS2301-0012,3474,1,4,
IVOS2301-0013,983,1,4,
IVOS2301-0013,3414,2,3,
IVOS2301-0013,3474,1,4,
IVOS2301-0014,194,2,3,
IVOS2301-0014,983,1,4,
IVOS2301-0014,3474,1,4,
IVOS2301-0015,189,2,3,
IVOS2301-0015,983,1,4,
IVOS2301-0015,3474,1,4,
IVOS2301-0016,189,2,3,
IVOS2301-0016,983,1,4,
IVOS2301-0016,3474,1,4,
IVOS2301-0017,189,2,3,
IVOS2301-0017,983,1,4,
IVOS2301-0017,3474,1,4,
IVOS2301-0018,983,1,4,
IVOS2301-0018,1618,2,3,
IVOS2301-0018,3474,1,4,
IVOS2301-0019,983,1,4,
IVOS2301-0019,1615,2,3,
IVOS2301-0019,3474,1,4,
IVOS2301-0043,197,2,3,
IVOS2301-0043,983,1,4,
IVOS2301-0043,3474,1,4,
IVOS2301-0044,983,1,4,
IVOS2301-0044,3401,2,3,
IVOS2301-0044,3474,1,4,
IVOS2301-0045,983,1,4,
IVOS2301-0045,3398,2,3,
IVOS2301-0045,3474,1,4,
IVOS2301-0046,191,2,3,
IVOS2301-0046,983,1,4,
IVOS2301-0046,3474,1,4,
IVOS2301-0053,983,1,4,
IVOS2301-0053,1605,2,3,
IVOS2301-0053,3474,1,4,
IVOS2301-0054,983,1,4,
IVOS2301-0054,1605,2,3,
IVOS2301-0054,3474,1,4,
IVOS2301-0108,983,1,4,
IVOS2301-0108,1603,2,3,
IVOS2301-0108,3474,1,4,
IVOS2301-0109,189,2,3,
IVOS2301-0109,983,1,4,
IVOS2301-0109,3474,1,4,
IVOS2301-0110,189,2,3,
IVOS2301-0110,983,1,4,
IVOS2301-0110,3474,1,4,
IVOS2301-0111,189,2,3,
IVOS2301-0111,983,1,4,
IVOS2301-0111,3474,1,4,
IVOS2301-0112,983,1,4,
IVOS2301-0112,3431,2,3,
IVOS2301-0112,3474,1,4,
IVOS2301-0113,983,1,4,
IVOS2301-0113,1603,2,3,
IVOS2301-0113,3474,1,4,
IVOS2301-0114,983,1,4,
IVOS2301-0114,1603,2,3,
IVOS2301-0114,3474,1,4,
IVOS2301-0115,191,2,3,
IVOS2301-0115,983,1,4,
IVOS2301-0115,3474,1,4,
IVOS2301-0116,983,1,4,
IVOS2301-0116,1606,2,3,
IVOS2301-0116,3474,1,4,
IVOS2301-0117,191,2,3,
IVOS2301-0117,983,1,4,
IVOS2301-0117,3474,1,4,
IVOS2301-0137,191,2,3,
IVOS2301-0137,983,1,4,
IVOS2301-0137,3474,1,4,
IVOS2301-0138,983,1,4,
IVOS2301-0138,3414,2,3,
IVOS2301-0138,3474,1,4,
IVOS2301-0141,189,2,3,
IVOS2301-0141,983,1,4,
IVOS2301-0141,3474,1,4,
IVOS2301-0147,191,2,3,
IVOS2301-0147,983,1,4,
IVOS2301-0147,3474,1,4,
IVOS2301-0148,191,2,3,
IVOS2301-0148,983,1,4,
IVOS2301-0148,3474,1,4,
IVOS2301-0187,189,2,3,
IVOS2301-0187,983,1,4,
IVOS2301-0187,3474,1,4,
IVOS2301-0188,191,2,3,
IVOS2301-0188,983,1,4,
IVOS2301-0188,3474,1,4,
IVOS2301-0189,194,2,3,
IVOS2301-0189,983,1,4,
IVOS2301-0189,3474,1,4,
IVOS2301-0190,191,2,3,
IVOS2301-0190,983,1,4,
IVOS2301-0190,3474,1,4,
IVOS2301-0191,983,1,4,
IVOS2301-0191,1615,2,3,
IVOS2301-0191,3474,1,4,
IVOS2301-0192,192,2,3,
IVOS2301-0192,983,1,4,
IVOS2301-0192,3474,1,4,
IVOS2301-0193,191,2,3,
IVOS2301-0193,983,1,4,
IVOS2301-0193,3474,1,4,
IVOS2301-0194,983,1,4,
IVOS2301-0194,1606,2,3,
IVOS2301-0194,3474,1,4,
IVOS2301-0195,983,1,4,
IVOS2301-0195,1606,2,3,
IVOS2301-0195,3474,1,4,
IVOS2301-0196,191,2,3,
IVOS2301-0196,983,1,4,
IVOS2301-0196,3474,1,4,
IVOS2301-0197,189,2,3,
IVOS2301-0197,983,1,4,
IVOS2301-0197,3474,1,4,
IVOS2301-0198,983,1,4,
IVOS2301-0198,1608,2,3,
IVOS2301-0198,3474,1,4,
IVOS2301-0199,983,1,4,
IVOS2301-0199,1603,2,3,
IVOS2301-0199,3474,1,4,
IVOS2301-0207,983,1,4,
IVOS2301-0207,1606,2,3,
IVOS2301-0207,3474,1,4,
IVOS2301-0208,983,1,4,
IVOS2301-0208,1606,2,3,
IVOS2301-0208,3474,1,4,
IVOS2301-0209,983,1,4,
IVOS2301-0209,1606,2,3,
IVOS2301-0209,3474,1,4,
IVOS2301-0224,983,1,4,
IVOS2301-0224,3401,2,3,
