InvoiceNo,CustomerID,InvoiceDate
CNTH2306-0043,UD0001,28-Jun-2023
CNTH2306-0044,PH0001,28-Jun-2023
CNTH2306-0045,BV0015,28-Jun-2023
CNTH2306-0046,BO0012,29-Jun-2023
CNTH2306-0047,PS0002,30-Jun-2023
CNTH2307-0001,BO0020,4-Jul-2023
CNTH2307-0002,BT0002,4-Jul-2023
CNTH2307-0003,UD0001,4-Jul-2023
CNTH2307-0004,PH0001,4-Jul-2023
CNTH2307-0005,BT0002,10-Jul-2023
CNTH2307-0006,BC0002,10-Jul-2023
CNTH2307-0007,UD0001,10-Jul-2023
CNTH2307-0008,PH0001,10-Jul-2023
CNTH2307-0009,BP-0011,10-Jul-2023
CNTH2307-0010,BP0019,10-Jul-2023
CNTH2307-0011,BT0002,11-Jul-2023
CNTH2307-0012,BC0002,11-Jul-2023
CNTH2307-0013,UD0001,11-Jul-2023
CNTH2307-0014,PH0001,11-Jul-2023
CNTH2307-0015,BT0002,14-Jul-2023
CNTH2307-0016,UD0001,14-Jul-2023
CNTH2307-0017,SH0001,17-Jul-2023
CNTH2307-0018,BK0005,17-Jul-2023
CNTH2307-0019,LO-0012,17-Jul-2023
CNTH2307-0020,LO-0012,17-Jul-2023
CNTH2307-0021,BT0002,18-Jul-2023
CNTH2307-0022,UD0001,18-Jul-2023
CNTH2307-0023,PY0001,18-Jul-2023
CNTH2307-0024,BT0002,18-Jul-2023
CNTH2307-0025,BT0002,21-Jul-2023
CNTH2307-0026,UD0001,21-Jul-2023
CNTH2307-0027,CC0005,21-Jul-2023
CNTH2307-0028,PH0001,21-Jul-2023
CNTH2307-0029,BG0005,24-Jul-2023
CNTH2307-0030,BT0002,26-Jul-2023
CNTH2307-0031,UD0001,26-Jul-2023
CNTH2307-0032,PH0001,26-Jul-2023
CNTH2307-0033,SH0001,26-Jul-2023
CNTH2307-0034,BT0002,31-Jul-2023
CNTH2307-0035,UD0001,31-Jul-2023
CNTH2307-0036,PH0001,31-Jul-2023
CNTH2307-0037,PS0003,31-Jul-2023
CNTH2307-0038,PH0001,31-Jul-2023
CNTH2308-0001,RT0001,3-Aug-2023
CNTH2308-0002,NT0003,3-Aug-2023
CNTH2308-0003,SB0005,3-Aug-2023
CNTH2308-0004,BT0002,4-Aug-2023
CNTH2308-0005,UD0001,4-Aug-2023
CNTH2308-0006,BP-0011,9-Aug-2023
CNTH2308-0007,BT0002,10-Aug-2023
CNTH2308-0008,BC0002,10-Aug-2023
CNTH2308-0009,UD0001,10-Aug-2023
CNTH2308-0010,PH0001,10-Aug-2023
CNTH2308-0011,LE0001,10-Aug-2023
CNTH2308-0012,BT0002,15-Aug-2023
CNTH2308-0013,BC0002,15-Aug-2023
CNTH2308-0014,BT0002,22-Aug-2023
CNTH2308-0015,BC0002,22-Aug-2023
CNTH2308-0016,UD0001,22-Aug-2023
CNTH2308-0017,LE0001,22-Aug-2023
CNTH2308-0018,BP0019,22-Aug-2023
CNTH2308-0019,BT0002,24-Aug-2023
CNTH2308-0020,BC0002,24-Aug-2023
CNTH2308-0021,UD0001,24-Aug-2023
CNTH2308-0022,PH0001,24-Aug-2023
CNTH2308-0023,LO-0012,28-Aug-2023
CNTH2308-0024,RS0002,28-Aug-2023
CNTH2308-0025,BT0012,28-Aug-2023
CNTH2308-0026,BT0002,31-Aug-2023
CNTH2308-0027,UD0001,31-Aug-2023
CNTH2308-0028,LE0001,31-Aug-2023
CNTH2309-0001,LO-0012,1-Sep-2023
CNTH2309-0002,BT0002,6-Sep-2023
CNTH2309-0003,UD0001,6-Sep-2023
CNTH2309-0004,RT0001,6-Sep-2023
CNTH2309-0005,BP-0011,7-Sep-2023
CNTH2309-0006,BT0002,11-Sep-2023
CNTH2309-0007,BC0002,11-Sep-2023
CNTH2309-0008,UD0001,11-Sep-2023
CNTH2309-0009,PH0001,11-Sep-2023
CNTH2309-0010,LE0001,11-Sep-2023
CNTH2309-0011,BN0012,11-Sep-2023
CNTH2309-0012,BT0002,12-Sep-2023
CNTH2309-0013,BC0002,12-Sep-2023
CNTH2309-0014,CB0002,15-Sep-2023
CNTH2309-0015,BT0002,16-Sep-2023
CNTH2309-0016,UD0001,16-Sep-2023
CNTH2309-0017,PY0001,16-Sep-2023
CNTH2309-0018,BT0002,20-Sep-2023
CNTH2309-0019,UD0001,20-Sep-2023
CNTH2309-0020,PH0001,20-Sep-2023
CNTH2309-0021,BN0012,20-Sep-2023
CNTH2309-0022,LO-0012,20-Sep-2023
CNTH2309-0023,BP0019,20-Sep-2023
CNTH2309-0024,LO-0027,21-Sep-2023
CNTH2309-0025,BE0001,21-Sep-2023
CNTH2309-0026,BT0002,21-Sep-2023
CNTH2309-0027,BC0002,21-Sep-2023
CNTH2309-0028,UD0001,21-Sep-2023
CNTH2309-0029,BO0012,22-Sep-2023
CNTH2309-0030,BT0002,27-Sep-2023
CNTH2309-0031,BC0002,27-Sep-2023
CNTH2309-0032,UD0001,27-Sep-2023
CNTH2309-0033,PH0001,27-Sep-2023
CNTH2309-0034,LE0001,27-Sep-2023
CNTH2309-0035,BN0012,27-Sep-2023
CNTH2310-0001,LO-0022,3-Oct-2023
CNTH2310-0002,NT0003,4-Oct-2023
CNTH2310-0003,BT0002,4-Oct-2023
CNTH2310-0004,UD0001,4-Oct-2023
CNTH2310-0005,LE0001,4-Oct-2023
CNTH2310-0006,BB0010,5-Oct-2023
CNTH2310-0007,LO-0012,5-Oct-2023
CNTH2310-0008,BW0006,5-Oct-2023
CNTH2310-0009,BW0006,5-Oct-2023
CNTH2310-0010,CB0002,5-Oct-2023
CNTH2310-0011,SH0001,11-Oct-2023
CNTH2310-0012,NT0003,11-Oct-2023
CNTH2310-0013,SH0001,11-Oct-2023
CNTH2310-0014,BT0002,11-Oct-2023
CNTH2310-0015,UD0001,11-Oct-2023
CNTH2310-0016,PH0001,11-Oct-2023
CNTH2310-0017,BN0012,11-Oct-2023
CNTH2310-0018,UD0001,16-Oct-2023
CNTH2310-0019,PH0001,16-Oct-2023
CNTH2310-0020,BN0012,16-Oct-2023
CNTH2310-0021,BM0008,18-Oct-2023
CNTH2310-0022,SH0001,19-Oct-2023
CNTH2310-0023,BC0002,19-Oct-2023
CNTH2310-0024,LE0001,19-Oct-2023
CNTH2310-0025,BN0012,19-Oct-2023
CNTH2310-0026,PH0001,20-Oct-2023
CNTH2310-0027,BO0008,25-Oct-2023
CNTH2310-0028,UD0001,25-Oct-2023
CNTH2310-0029,BN0012,25-Oct-2023
CNTH2310-0030,UD0001,30-Oct-2023
CNTH2310-0031,NT0003,30-Oct-2023
CNTH2310-0032,PH0001,30-Oct-2023
CNTH2310-0033,BN0012,30-Oct-2023
CNTH2310-0034,PH0001,30-Oct-2023
CNTH2311-0001,BK0005,7-Nov-2023
CNTH2311-0002,BK0005,7-Nov-2023
CNTH2311-0003,BK0005,7-Nov-2023
CNTH2311-0004,BC0002,8-Nov-2023
CNTH2311-0005,UD0001,8-Nov-2023
CNTH2311-0006,NT0003,8-Nov-2023
CNTH2311-0007,NT0003,9-Nov-2023
CNTH2311-0008,BT0002,9-Nov-2023
CNTH2311-0009,BT0002,13-Nov-2023
CNTH2311-0010,BC0002,14-Nov-2023
CNTH2311-0011,UD0001,14-Nov-2023
CNTH2311-0012,NT0003,14-Nov-2023
CNTH2311-0013,PH0001,14-Nov-2023
CNTH2311-0014,LE0001,14-Nov-2023
CNTH2311-0015,BN0012,14-Nov-2023
CNTH2311-0016,RT0001,14-Nov-2023
CNTH2311-0017,RT0001,14-Nov-2023
CNTH2311-0018,RT0001,14-Nov-2023
CNTH2311-0019,BC0002,16-Nov-2023
CNTH2311-0020,PH0001,16-Nov-2023
CNTH2311-0021,LE0001,16-Nov-2023
CNTH2311-0022,CS0004,17-Nov-2023
CNTH2311-0023,SB0005,17-Nov-2023
CNTH2311-0024,BT0002,21-Nov-2023
CNTH2311-0025,BC0002,24-Nov-2023
CNTH2311-0026,NT0003,24-Nov-2023
CNTH2311-0027,PH0001,24-Nov-2023
CNTH2311-0028,BV0015,24-Nov-2023
CNTH2311-0029,LO-0012,29-Nov-2023
CNTH2311-0030,LO-0012,29-Nov-2023
CNTH2311-0031,BC0002,29-Nov-2023
CNTH2311-0032,UD0001,29-Nov-2023
CNTH2311-0033,BN0012,29-Nov-2023
CNTH2311-0034,LO-0012,29-Nov-2023
CNTH2311-0035,BT0002,30-Nov-2023
CNTH2311-0036,BN0012,30-Nov-2023
CNTH2312-0001,UD0001,1-Dec-2023
CNTH2312-0002,NT0003,1-Dec-2023
CNTH2312-0003,PH0001,1-Dec-2023
CNTH2312-0004,NT0003,4-Dec-2023
CNTH2312-0005,UD0001,12-Dec-2023
CNTH2312-0006,CC0005,12-Dec-2023
CNTH2312-0007,PH0001,12-Dec-2023
CNTH2312-0008,LE0001,12-Dec-2023
CNTH2312-0009,BT0012,14-Dec-2023
CNTH2312-0010,LO-0012,14-Dec-2023
CNTH2312-0011,LO-0012,14-Dec-2023
CNTH2312-0012,UD0001,16-Dec-2023
CNTH2312-0013,CC0005,16-Dec-2023
CNTH2312-0014,PH0001,16-Dec-2023
CNTH2312-0015,UD0001,18-Dec-2023
CNTH2312-0016,PH0001,18-Dec-2023
CNTH2312-0017,BS0004,20-Dec-2023
CNTH2312-0018,PH0001,25-Dec-2023
CNTH2312-0019,PH0001,25-Dec-2023
CNTH2312-0020,BP-0010,25-Dec-2023
CNTH2312-0021,UD0001,25-Dec-2023
CNTH2312-0022,NT0003,25-Dec-2023
CNTH2312-0023,CC0005,26-Dec-2023
CNTH2312-0024,PH0001,26-Dec-2023
CNTH2312-0025,LE0001,26-Dec-2023
CNTH2312-0026,BT0001,28-Dec-2023
CNTH2312-0027,LS-0018,28-Dec-2023
CNTH2401-0001,BC0002,4-Jan-2024
CNTH2401-0002,UD0001,4-Jan-2024
CNTH2401-0003,PH0001,4-Jan-2024
CNTH2401-0004,LE0001,4-Jan-2024
CNTH2401-0005,RT0001,4-Jan-2024
CNTH2401-0006,LO-0027,4-Jan-2024
CNTH2401-0007,BN0012,4-Jan-2024
CNTH2401-0008,BN0012,4-Jan-2024
CNTH2401-0009,NT0003,9-Jan-2024
CNTH2401-0010,BC0002,12-Jan-2024
CNTH2401-0011,NT0003,12-Jan-2024
CNTH2401-0012,LE0001,12-Jan-2024
CNTH2401-0013,PH0001,15-Jan-2024
CNTH2401-0014,PH0001,15-Jan-2024
CNTH2401-0015,PH0001,22-Jan-2024
CNTH2401-0016,LO-0012,22-Jan-2024
CNTH2401-0017,LO-0012,22-Jan-2024
CNTH2401-0018,UL0001,23-Jan-2024
CNTH2401-0019,LE0001,23-Jan-2024
CNTH2401-0020,NT0003,23-Jan-2024
CNTH2401-0021,UD0001,23-Jan-2024
CNTH2401-0022,UL0001,23-Jan-2024
CNTH2401-0023,BC0002,23-Jan-2024
CNTH2401-0024,SH0001,31-Jan-2024
CNTH2401-0025,UD0001,31-Jan-2024
CNTH2401-0026,BN0013,31-Jan-2024
CNTH2401-0027,CE0001,31-Jan-2024
CNTH2401-0028,BD0007,31-Jan-2024
CNTH2402-0001,UL0001,3-Feb-2024
CNTH2402-0002,BC0002,3-Feb-2024
CNTH2402-0003,NT0003,3-Feb-2024
CNTH2402-0004,LE0001,3-Feb-2024
CNTH2402-0005,RT0001,12-Feb-2024
CNTH2402-0006,UL0001,12-Feb-2024
CNTH2402-0007,NT0003,12-Feb-2024
CNTH2402-0008,UL0001,14-Feb-2024
CNTH2402-0009,NT0003,14-Feb-2024
CNTH2402-0010,LO-0012,21-Feb-2024
CNTH2402-0011,PS0003,27-Feb-2024
CNTH2402-0012,LO-0012,27-Feb-2024
CNTH2402-0013,LO-0012,27-Feb-2024
CNTH2402-0014,NT0003,27-Feb-2024
CNTH2402-0015,NT0003,27-Feb-2024
CNTH2402-0016,UL0001,28-Feb-2024
CNTH2402-0017,NT0003,28-Feb-2024
CNTH2402-0018,PH0001,29-Feb-2024
CNTH2403-0001,UD0001,6-Mar-2024
CNTH2403-0002,LO-0023,6-Mar-2024
CNTH2403-0003,LO-0023,6-Mar-2024
CNTH2403-0004,LO-0012,13-Mar-2024
CNTH2403-0005,UL0001,14-Mar-2024
CNTH2403-0006,BV0007,20-Mar-2024
CNTH2403-0007,LO-0012,29-Mar-2024
CNTH2403-0008,BN0012,29-Mar-2024
CNTH2404-0001,BU-002,1-Apr-2024
CNTH2404-0002,UL0001,4-Apr-2024
CNTH2404-0003,NT0003,4-Apr-2024
CNTH2404-0004,BK0005,5-Apr-2024
CNTH2404-0005,BT0002,5-Apr-2024
CNTH2404-0006,BK0005,22-Apr-2024
CNTH2404-0007,UL0001,24-Apr-2024
CNTH2404-0008,NT0003,24-Apr-2024
CNTH2404-0009,PC0003,26-Apr-2024
CNTH2404-0010,PR0001,26-Apr-2024
CNTH2404-0011,LO-0012,30-Apr-2024
CNTH2404-0012,SH0001,30-Apr-2024
CNTH2404-0013,BK0004,30-Apr-2024
CNTH2405-0001,NT0003,3-May-2024
CNTH2405-0002,NT0003,15-May-2024
CNTH2405-0003,BS0017,17-May-2024
CNTH2405-0004,RT0001,27-May-2024
CNTH2405-0005,BK0005,27-May-2024
CNTH2405-0006,BK0005,27-May-2024
CNTH2405-0007,UL0001,31-May-2024
CNTH2405-0008,NT0003,31-May-2024
CNTH2406-0001,LO-0012,4-Jun-2024
CNTH2406-0002,LO-0012,4-Jun-2024
CNTH2406-0003,EDVIN,13-Jun-2024
CNTH2406-0004,UL0001,17-Jun-2024
CNTH2406-0005,NT0003,17-Jun-2024
CNTH2406-0006,BN0012,18-Jun-2024
CNTH2406-0007,BN0012,18-Jun-2024
CNTH2406-0008,BK0005,21-Jun-2024
CNTH2406-0009,BO-0005,21-Jun-2024
CNTH2406-0010,BO-0005,21-Jun-2024
CNTH2406-0011,CS0004,21-Jun-2024
CNTH2406-0012,BK0005,27-Jun-2024
CNTH2407-0001,BK0004,1-Jul-2024
CNTH2407-0002,CP0001,5-Jul-2024
CNTH2407-0003,BN0012,5-Jul-2024
CNTH2407-0004,BAP001,8-Jul-2024
CNTH2407-0005,SH0001,8-Jul-2024
CNTH2407-0006,BK0005,11-Jul-2024
CNTH2407-0007,BS0007,12-Jul-2024
CNTH2407-0008,LO-0027,29-Jul-2024
CNTH2407-0009,BO-0005,31-Jul-2024
CNTH2408-0001,NT0003,12-Aug-2024
CNTH2408-0002,BP-0019,14-Aug-2024
CNTH2408-0003,LO-0012,21-Aug-2024
CNTH2408-0004,BM0008,21-Aug-2024
CNTH2408-0005,BAP001,24-Aug-2024
CNTH2408-0006,BT0012,26-Aug-2024
CNTH2408-0007,BN0012,30-Aug-2024
CNTH2408-0008,SK0002,30-Aug-2024
CNTH2408-0009,LO-0012,30-Aug-2024
CNTH2408-0010,BU-002,30-Aug-2024
DNOS2301-0002,GAUSS,18-Jan-2023
DNOS2311-0009,SOLNA,18-Nov-2023
DNTH2302-0001,PS0008,15-Feb-2023
DNTH2303-0001,LO-0012,4-Mar-2023
DNTH2303-0002,LO-0012,4-Mar-2023
DNTH2303-0003,LO-0023,28-Mar-2023
DNTH2308-0001,BK0004,21-Aug-2023
DNTH2310-0001,LO-0012,10-Oct-2023
DNTH2403-0001,LO-0027,6-Mar-2024
DNTH2403-0002,LO-0027,6-Mar-2024
DNTH2403-0003,PH0001,8-Mar-2024
DNTH2403-0004,LS-0018,21-Mar-2024
DNTH2404-0001,LO-0027,1-Apr-2024
DNTH2404-0002,BH-001,30-Apr-2024
DNTH2408-0001,LS-0018,15-Aug-2024
IVOC2301-0002,GAUSS,31-Jan-2023
IVOC2301-0003,GAUSS,31-Jan-2023
IVOC2301-0007,GAUSS,31-Jan-2023
IVOC2301-0008,GAUSS,31-Jan-2023
IVOC2302-0007,GAUSS,28-Feb-2023
IVOC2302-0011,GAUSS,28-Feb-2023
IVOC2302-0013,GAUSS,28-Feb-2023
IVOC2302-0014,GAUSS,28-Feb-2023
IVOC2303-0009,GAUSS,30-Mar-2023
IVOC2303-0010,GAUSS,30-Mar-2023
IVOC2303-0014,GAUSS,30-Mar-2023
IVOC2303-0015,GAUSS,30-Mar-2023
IVOC2304-0001,SOLNA,4-Apr-2023
IVOC2304-0003,GAUSS,25-Apr-2023
IVOC2304-0004,GAUSS,25-Apr-2023
IVOC2304-0010,GAUSS,28-Apr-2023
IVOC2305-0001,GAUSS,26-May-2023
IVOC2305-0002,GAUSS,26-May-2023
IVOC2305-0007,GAUSS,30-May-2023
IVOC2305-0010,GAUSS,30-May-2023
IVOC2306-0002,GAUSS,22-Jun-2023
IVOC2306-0003,GAUSS,22-Jun-2023
IVOC2306-0009,GAUSS,30-Jun-2023
IVOC2306-0012,GAUSS,30-Jun-2023
IVOC2307-0002,GAUSS,20-Jul-2023
IVOC2307-0003,GAUSS,20-Jul-2023
IVOC2307-0011,GAUSS,27-Jul-2023
IVOC2308-0005,GAUSS,24-Aug-2023
IVOC2308-0006,GAUSS,24-Aug-2023
IVOC2308-0015,GAUSS,30-Aug-2023
IVOC2308-0016,GAUSS,30-Aug-2023
IVOC2309-0004,GAUSS,25-Sep-2023
IVOC2309-0005,GAUSS,25-Sep-2023
IVOC2309-0008,GAUSS,29-Sep-2023
IVOC2310-0001,SOLNA,5-Oct-2023
IVOC2310-0006,GAUSS,30-Oct-2023
IVOC2310-0007,GAUSS,30-Oct-2023
IVOC2310-0009,GAUSS,30-Oct-2023
IVOC2311-0003,GAUSS,20-Nov-2023
IVOC2311-0004,GAUSS,20-Nov-2023
IVOC2311-0006,GAUSS,30-Nov-2023
IVOC2311-0007,GAUSS,30-Nov-2023
IVOC2312-0001,GAUSS,8-Dec-2023
IVOC2312-0002,GAUSS,8-Dec-2023
IVOC2312-0003,GAUSS,8-Dec-2023
IVOC2312-0010,GAUSS,28-Dec-2023
IVOC2401-0001,VRLL LENS,5-Jan-2024
IVOC2401-0003,GAUSS,12-Jan-2024
IVOC2401-0004,GAUSS,12-Jan-2024
IVOC2401-0006,GAUSS,12-Jan-2024
IVOC2401-0009,GAUSS,18-Jan-2024
IVOC2402-0003,GAUSS,23-Feb-2024
IVOC2402-0004,GAUSS,23-Feb-2024
IVOC2402-0005,GAUSS,23-Feb-2024
IVOC2403-0002,GAUSS,20-Mar-2024
IVOC2403-0003,GAUSS,20-Mar-2024
IVOC2403-0004,GAUSS,20-Mar-2024
IVOC2403-0009,GAUSS,27-Mar-2024
IVOC2403-0014,GAUSS,28-Mar-2024
IVOC2403-0016,OSTL M,30-Mar-2024
IVOC2403-0017,GAUSS,30-Mar-2024
IVOC2404-0003,GAUSS,26-Apr-2024
IVOC2404-0004,GAUSS,26-Apr-2024
IVOC2404-0005,GAUSS,26-Apr-2024
IVOC2404-0009,GAUSS,26-Apr-2024
IVOC2405-0005,GAUSS,25-May-2024
IVOC2405-0006,GAUSS,25-May-2024
IVOC2405-0011,GAUSS,25-May-2024
IVOC2405-0013,GAUSS,28-May-2024
IVOC2405-0016,SOLNA,28-May-2024
IVOC2406-0004,GAUSS,27-Jun-2024
IVOC2406-0005,GAUSS,27-Jun-2024
IVOC2406-0011,GAUSS,28-Jun-2024
IVOC2406-0013,GAUSS,29-Jun-2024
IVOC2407-0008,GAUSS,31-Jul-2024
IVOC2407-0009,GAUSS,31-Jul-2024
IVOC2407-0010,GAUSS,31-Jul-2024
IVOC2407-0011,GAUSS,31-Jul-2024
IVOC2408-0011,GAUSS,29-Aug-2024
IVOC2408-0012,GAUSS,29-Aug-2024
IVOC2408-0013,GAUSS,29-Aug-2024
IVOC2408-0014,GAUSS,29-Aug-2024
IVOS2301-0011,GAUSS,2-Jan-2023
IVOS2301-0012,GAUSS,2-Jan-2023
IVOS2301-0013,GAUSS,2-Jan-2023
IVOS2301-0014,GAUSS,2-Jan-2023
IVOS2301-0015,GAUSS,2-Jan-2023
IVOS2301-0016,GAUSS,2-Jan-2023
IVOS2301-0017,GAUSS,2-Jan-2023
IVOS2301-0018,GAUSS,2-Jan-2023
IVOS2301-0019,GAUSS,2-Jan-2023
IVOS2301-0043,GAUSS,3-Jan-2023
IVOS2301-0044,GAUSS,3-Jan-2023
IVOS2301-0045,GAUSS,3-Jan-2023
IVOS2301-0046,GAUSS,3-Jan-2023
